,Image,Accuracy,F1,Jaccard,Recall,Precision
17,box-christmas-claus-cute-41940_0,0.9881210327148438,0.9893768720107528,0.9789770732629418,0.9903566403955689,0.9883990402966356
18,boy-child-fun-beach_0,0.9782600402832031,0.9813593084071188,0.9634008502767895,0.9807786603903109,0.9819406443504785
19,boy-child-sad-alone-158305_0,0.9770126342773438,0.9757366382399602,0.9526228064658154,0.9725178585761297,0.9789767952944218
20,brunette-cute-fashion-female-41366_0,0.9947738647460938,0.996367743440728,0.9927617779609348,0.9990270408217518,0.9937225659738749
21,building-joy-planning-plans_0,0.9948844909667969,0.9818668613849336,0.9643796318431748,0.9976094303849642,0.9666134185303514
22,call-calling-cell-cellphone-41515_0,0.9809455871582031,0.9890951007638887,0.9784254696077711,0.9949795977528978,0.9832797985936279
23,child-girl-read-learn-159543_0,0.9714584350585938,0.9674046579710902,0.9368671526933982,0.9627490765308777,0.9721054843454507
24,cold-person-woman-water_0,0.4545860290527344,0.0,0.0,0.0,0.0
25,cute-dive-fun-goggles-41517_0,0.9894866943359375,0.9909056110663798,0.9819751471550032,0.9920382691659674,0.9897755364382478
26,desk-office-workspace-coworking_0,0.9100112915039062,0.921287954621288,0.854062915648489,0.8624933620716584,0.9886847853331902
27,dirt-bike-motorcycle-exhaust-67557_0,0.9892158508300781,0.9323279473369239,0.873234384108336,0.9067374400521488,0.959404867474628
28,dog-dog-advisor-non-fiction-cocktail_0,0.9916915893554688,0.9814382382518877,0.9635529970882559,0.9765280510141782,0.9863980539281186
29,dots-dotted-color-cute-41512_0,0.9729652404785156,0.9679664793863594,0.9379215500779594,0.9507129792410278,0.9858577860437708
30,fashion-woman-model-portrait_0,0.9927330017089844,0.9955851373242457,0.9912090853295554,0.9942602158899443,0.9969135945716394
31,food-man-person-eating_0,0.9061241149902344,0.9352086125233335,0.8783021947046199,0.8820009336233525,0.995248048505769
32,football-american-football-game-sport-163294_0,0.9680519104003906,0.9695878104312902,0.9409708272542096,0.9669928509861583,0.9721967346819883
33,football-american-football-quarterback-runner-163439_0,0.98944091796875,0.990903235135597,0.9819704805700663,0.9927171679924143,0.9890959191707125
34,football-american-football-referee-referee-football-official-163039_0,0.9938430786132812,0.9961772939788827,0.9923837028228433,0.9944155739759127,0.9979452672338931
35,girl-bicycle-garden-people-630770_0,0.9908332824707031,0.979828589176439,0.9604548596254484,0.9726518232117859,0.9871120507399577
36,girl-blonde-wreath-water-160526_0,0.9909591674804688,0.9810108326389335,0.9627294028841467,0.9921881330934669,0.970082558194812
37,girl-cascada-water-waves-160588_0,0.9923515319824219,0.9854765923232381,0.9713690042696597,0.9805685290895462,0.9904340356139253
38,girl-cat-kitten-fashion_0,0.9959945678710938,0.9961218836565097,0.9922737306843267,0.9956732331137954,0.9965709387055294
39,girl-dance-dress-flowers-163508_0,0.9769477844238281,0.9639626208352468,0.9304322799746734,0.937871333085778,0.9915471531449743
40,girl-forest-nature-stroll-160627_0,0.9956283569335938,0.9958710439845506,0.9917760443203755,0.9973731119241955,0.9943734935424686
41,girl-in-leather-jacket-beautiful-hair-model-160974_0,0.9965896606445312,0.9925625197584067,0.9852348549910814,0.9929755642852387,0.9921498187140338
42,girl-model-blonde-slav-157666_0,0.9932136535644531,0.9895943614190039,0.979403047283842,0.9984184498447957,0.9809248823024652
43,girl-park-woman-greens-157854_0,0.9850311279296875,0.966025974025974,0.9342845659163987,0.9826675121538787,0.94993870044953
44,girl-peasant-woman-tradition-water-158007_0,0.9888496398925781,0.9893178088900096,0.9788614240877074,0.9999926120748249,0.9788685030771567
45,girl-portrait-face-woman-122426_0,0.9859352111816406,0.9914909035520344,0.9831253947476819,0.9848923897992682,0.9981784301971663
46,girl-rustic-grass-meadow-89779_0,0.7952957153320312,0.8617372125859278,0.7570635024831477,0.7814601412195726,0.960395812155775
47,girl-sunset-lake-water-160534_0,0.992431640625,0.9916924184944184,0.9835217315470802,0.9920912190749072,0.9912939384046142
48,girl-water-wet-summer-122436_0,0.998626708984375,0.988114889402443,0.9765089722675367,0.9791285003925674,0.9972677595628415
49,girl-wild-water-rock-160440_0,0.9888153076171875,0.9741532819690052,0.9496090057574976,0.9896650546301272,0.9591202610748507
50,girl-woman-portrait-young-115015_0,0.9994087219238281,0.9997034417971045,0.999407059435597,0.9995753065636179,0.9998316098860305
51,girl-young-blue-eyes-eyes-39295_0,0.9945755004882812,0.9910453400503778,0.9822496286402617,0.9933347640026762,0.988766445095058
52,girls-children-kids-friends-50581_0,0.9752349853515625,0.9783156193008358,0.9575517036203977,0.9899682960299059,0.9669340728269122
53,girls-women-happy-sexy-53364_0,0.9866981506347656,0.9745405693508465,0.9503453186187255,0.9947236630298695,0.9551602238410786
54,glamour-style-hat-woman-37649_0,0.9816436767578125,0.9848140574111944,0.9700824411534301,0.9818950707017312,0.987750451049283
55,hammer-throw-athlete-track-and-field-training-37636_0,0.9963760375976562,0.9940008588244209,0.9880732677990786,0.997983819837184,0.9900495634890684
56,hanging-out-trainer-young-79990_fk4fhyJJPf_0,0.9821243286132812,0.9614085945349431,0.9256851053032226,0.9841178850822768,0.9397237337798242
57,hiker-traveler-trip-travel-160483_0,0.9913101196289062,0.9797719684591887,0.9603460581057323,0.9869230769230769,0.9727237463854996
58,james-stewart-man-person-actor-53487_0,0.9970436096191406,0.9980792632301588,0.9961658907748858,0.997646569193343,0.9985123327614079
59,kickboxer-girl-kickboxing-athletic-girl-160920_0,0.9907722473144531,0.9367697414852185,0.8810600845707542,0.9041323982037439,0.9718516108037748
60,love-old-people-the-heart-of-pension-160936_0,0.9881744384765625,0.9391225796315934,0.8852319425419274,0.9755211945657052,0.9053424709401385
61,man-selling-razors-black-and-white-older-68655_0,0.991424560546875,0.9934606299670704,0.9870062309977689,0.9962601882158005,0.9906767615235111
62,man-stress-male-face_0,0.9578857421875,0.9737289224574881,0.9488028492327384,0.9585781351024654,0.9893663320373701
63,maternity-baby-belly-pregnant-pregnancy-160776_0,0.9812507629394531,0.9852654173499336,0.9709587454650737,0.9757208341250238,0.9949985770770134
64,model-fashion-girl-female-39678_0,0.996551513671875,0.9973803327904672,0.9947743550317065,0.9971029439883191,0.9976578759717786
65,motorbike-racing-motorcycle-race-51388_0,0.7424964904785156,0.6613216398328258,0.49401085392180377,0.989297186946471,0.4966652850521873
66,motorcycle-stunt-jump-motocross-38277_0,0.9438018798828125,0.8140744106214347,0.6864464498552699,0.9733808172873786,0.6995791939612165
67,norway-mountain-sky-blue_0,0.9811363220214844,0.9510633455056458,0.9066928316697171,0.9209774796358409,0.9831812415599296
68,nymph-forest-nature-elf_0,0.9752960205078125,0.9713022130442874,0.9442056018402847,0.9509401546244154,0.9925553593261786
69,peasant-farmer-farmer-romania-botiza-47862_0,0.9813385009765625,0.989653130287648,0.9795181832645303,0.9986511290391429,0.9808158302938834
70,people-man-model-glasses-46503_0,0.9918594360351562,0.9905835216040666,0.9813427289974558,0.9916774894643378,0.9894919647028747
71,people-mother-family-father_0,0.9924430847167969,0.9923773390333342,0.9848700088595607,0.9989774021366098,0.9858639143730887
72,person-woman-eyes-face_0,0.9879074096679688,0.9925738167302305,0.9852571168129328,0.9970443859806003,0.9881431589945473
73,person-woman-girl_0,0.9949378967285156,0.985731949895167,0.9718653267183989,0.9818785477133983,0.9896157167530224
74,person-woman-music-musician_0,0.9920082092285156,0.9860080545518904,0.9724022552429128,0.9923507111553249,0.9797459618013618
75,pexels-photo-106684_0,0.9971847534179688,0.9857978600569625,0.9719934727334826,0.9924442033477991,0.9792399449457103
76,pexels-photo-108155_0,0.9760284423828125,0.941829895952901,0.8900552872839247,0.9058404558404558,0.9807974088069715
